File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./invprel3.v;SimpleTypeIntersection;;;45;15;apply;C2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;16;apply;C2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;26;apply;C3;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;27;apply;C3;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;28;apply;C3;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;38;apply;C4;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;39;apply;C4;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;40;apply;C4;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;46;7;apply;D1;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;46;8;apply;D1;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;46;9;apply;D1;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;32;9;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;32;10;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;32;11;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;32;12;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;32;13;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;32;14;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;34;7;apply;D2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;34;8;apply;D2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;34;9;apply;D2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;14;apply;C2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;15;apply;C2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;16;apply;C2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;26;apply;C3;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;27;apply;C3;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;28;apply;C3;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;38;apply;C4;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;39;apply;C4;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;36;40;apply;C4;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;7;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;8;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;9;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;10;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;11;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;12;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;13;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;14;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;15;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;16;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;24;apply;E0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;25;apply;E0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;26;apply;E0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;34;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;35;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;36;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;43;37;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;14;apply;C2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;15;apply;C2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;16;apply;C2;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;26;apply;C3;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;27;apply;C3;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;28;apply;C3;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;38;apply;C4;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;39;apply;C4;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;45;40;apply;C4;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;46;7;apply;D1;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;46;8;apply;D1;-2;;;;;;;;;;
./invprel3.v;SplitTypeIntersection;;;46;9;apply;D1;-2;;;;;;;;;;
./invprel3.v;StructuredTypeEvaluation;1;1;32;9;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;StructuredTypeEvaluation;1;1;32;10;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;StructuredTypeEvaluation;1;1;32;11;rewrite;eq_l0;-2;;;;;;;;;;
